scenario,group,user_count,sum_rate_bps_hz,proportional_fair_utility,mean_log_utility_per_user,geometric_mean_rate_bps_hz,jain_fairness_index,minimum_rate_bps_hz,p01_rate_bps_hz,p05_rate_bps_hz,p10_rate_bps_hz,median_rate_bps_hz,maximum_rate_bps_hz
nominal_total_band,all,228,546.3379124583655,51.80337924665505,0.22720780371339933,1.2540906533416707,0.6295540970621497,9.180765487144526e-05,0.004092775202618214,0.030197555737686347,0.1479613272799179,2.127908293157816,8.100958710908891
nominal_total_band,indoor,184,526.3068617424229,140.86930936510862,0.7655940726364598,2.1492714126982295,0.733998066371547,0.03041981910355389,0.08170583567628638,0.2814263463625684,0.6637386859767139,2.7235475413501264,8.100958710908891
nominal_total_band,outdoor,44,20.031050715942587,-89.06593011845362,-2.0242256845103097,0.13109608764477915,0.32017588014764586,9.180765487144526e-05,0.0009229403594767973,0.0035604182702081745,0.0086504168814281,0.20326356608420612,3.2726127922534944
common_scale_worst_total_band,all,228,542.4890818785924,50.18017563286091,0.220088489617811,1.245187000319825,0.6292457519397773,9.162787061642175e-05,0.004032404266636303,0.030326462169686663,0.14700179415231135,2.1166817501251227,8.087323502120649
common_scale_worst_total_band,indoor,184,522.8852320199039,139.90922881868477,0.7603762435798085,2.13808088456199,0.733866173926509,0.030204810827258715,0.08762803211277319,0.283890785867073,0.645719212518231,2.6937139455923265,8.087323502120649
common_scale_worst_total_band,outdoor,44,19.60384985868858,-89.72905318582384,-2.0392966633141785,0.1291201970100017,0.32949756303626926,9.162787061642175e-05,0.0009219238540399477,0.0034871361313645512,0.008647097836708233,0.19646234182943553,3.0028482700725334
nominal_protected_band,all,228,550.3354678906107,44.94908237767606,0.19714509814770204,1.2169207459300804,0.6224055348932902,0.00010800106247188523,0.0029747020406648518,0.028247934300452474,0.08943161442875863,2.233368396759033,8.733243942260742
nominal_protected_band,indoor,184,530.2125432230532,139.74700184568388,0.759494575248282,2.136195755838761,0.7256779337871693,0.05524982884526253,0.07591637037694454,0.3397218927741051,0.5527520895004273,2.7791025638580322,8.733243942260742
nominal_protected_band,outdoor,44,20.122924667557527,-94.7979194680078,-2.15449816972745,0.11496136893921517,0.31911251846308636,0.00010800106247188523,0.000846439825327252,0.002706954046152532,0.006006324850022793,0.16542115807533264,2.7074320316314697
common_scale_worst_protected_band,all,228,511.84716209288035,17.049520818354466,0.07477860008050205,1.07664553383627,0.6055464889411865,0.00010620321992165017,0.002717747729608209,0.017482090044207022,0.07625013345251354,2.124534255589876,8.379484134471866
common_scale_worst_protected_band,indoor,184,495.99624599786296,126.4016751537701,0.6869656258357071,1.986675023556122,0.7118136461782385,0.05522739751758935,0.07338088009993199,0.29224942729068965,0.5419126219063418,2.527905698926661,8.379484134471866
common_scale_worst_protected_band,outdoor,44,15.850916095017414,-109.35215433541562,-2.4852762348958097,0.08230254026502946,0.2968105535244678,0.00010620321992165017,0.0009235555785423805,0.0025547543290385184,0.005236884498181601,0.08781713739028957,2.297918175679521
