pass_slot,status,floor_violation_user_seconds,unresolved_deployable_intervals,captured_repair_intervals
0,PASS,420,40,98
1,PASS,335,40,95
2,PASS,300,40,97
3,PASS,280,40,98
4,PASS,265,40,101
