campaign_seed,candidate_minus_static_final_pf,candidate_minus_static_duration_mean_pf,candidate_minus_predictive_final_pf,candidate_minus_predictive_duration_mean_pf
44030,0.25137010536295956,0.18156173682902188,0.1338404981705579,0.04587227581146176
44031,0.2699367751643279,0.1877388163051165,0.08749689868429295,0.05722780838999873
44032,0.5748040665542498,0.3562944004743258,0.10246392184895892,0.02023800530101026
44033,0.11252871048848472,0.1035801692574807,0.06652413836739293,0.030189563758898363
44034,0.23148473135336473,0.17327653535708404,0.08831371182231318,0.059301372199621415
44035,0.33826190909109355,0.3319094020815925,0.17192634284474334,0.179912364825239
44036,0.2485455916307458,0.18260520679298506,-0.06333899085049624,-0.02388965194630824
44037,0.20625634272901433,0.3019187551515784,0.03127296070621664,0.10915330128940179
44038,0.09418695692603224,0.11004752833016192,0.036147789415024736,0.0064195602870852795
44039,0.21845267860777678,0.12629260777488294,-0.038702263604355316,-0.097904234707056
44040,0.08379244692632706,0.06967072059934191,0.0,0.0
44041,0.1327662769748151,0.06237207811423956,-0.12217598975425044,-0.11680258900742894
44042,0.4747984791646374,0.37725489628571435,0.3594160110616251,0.27407160705295724
44043,0.8360946813136266,0.411474523284204,0.35284315670957506,0.09728117417051005
44044,0.31040306171842924,0.28498570847110616,-0.09522125167747214,-0.09991112150651979
44045,0.31920711291714166,0.2572721062529837,0.08218969251554564,0.074101087643757
44046,0.213850288856856,0.30335874095500515,0.07167757147738596,0.15952060303917218
44047,0.18138229540058143,0.24464593623866332,0.0049329020542870205,0.00937912228578736
44048,0.21135031289606157,0.2136377992803403,0.05349941215389288,0.050556722184356265
44049,0.2388600443387702,0.20832030795152714,0.12012659287640018,0.0747301324064409
44050,0.042705858442970125,0.04002411349698602,-0.00473998063786774,-0.0173576272807906
44051,0.30929475007690593,0.2161934798202864,-0.006946192273234661,-0.004924474657047919
44052,0.2550994944580637,0.2287518265208433,-0.012542962507173138,-0.010938662459184881
44053,0.25439038180573303,0.18783051318226848,0.1287112604767699,0.05753651598348308
44054,0.28439504752001243,0.18886629282962983,0.003015663444308083,-0.024441159445737482
44055,0.13258565137134892,0.15935732462343136,-0.0017670132499631405,0.0022576675047844197
44056,0.13215945529984477,0.14644733033796054,0.00696256559118774,-0.0035506438334351603
44057,0.16891262028428428,0.2735097137731117,0.0012359601218136396,0.05140965498300428
44058,0.1612792868636262,0.19276760621987418,0.12563226747629125,0.12001117053992798
44059,0.22487538370121024,0.14092927368057812,0.005088283066905281,-0.00018774428978076004
