sample_id,absolute_error,stress_stratum,source_type,epoch_id,provenance_note
DEMO_0000,0.6177789459586022,nominal,synthetic_demo,0,Synthetic software test only
DEMO_0001,1.6084406076419964,high_clutter,synthetic_demo,0,Synthetic software test only
DEMO_0002,0.459635994485354,pointing_stress,synthetic_demo,0,Synthetic software test only
DEMO_0003,0.44668239246085906,nominal,synthetic_demo,0,Synthetic software test only
DEMO_0004,1.7891736696235547,high_clutter,synthetic_demo,0,Synthetic software test only
DEMO_0005,2.8076944252828517,pointing_stress,synthetic_demo,0,Synthetic software test only
DEMO_0006,1.2002420460959398,nominal,synthetic_demo,0,Synthetic software test only
DEMO_0007,0.5777710346740381,high_clutter,synthetic_demo,0,Synthetic software test only
DEMO_0008,0.3050349472516641,pointing_stress,synthetic_demo,0,Synthetic software test only
DEMO_0009,1.1253821674775177,nominal,synthetic_demo,0,Synthetic software test only
DEMO_0010,0.030747927842395422,high_clutter,synthetic_demo,0,Synthetic software test only
DEMO_0011,1.2469807991988255,pointing_stress,synthetic_demo,0,Synthetic software test only
DEMO_0012,0.6977112540481015,nominal,synthetic_demo,0,Synthetic software test only
DEMO_0013,0.22433606897721453,high_clutter,synthetic_demo,0,Synthetic software test only
DEMO_0014,1.1817529357115804,pointing_stress,synthetic_demo,0,Synthetic software test only
DEMO_0015,0.22501056575241285,nominal,synthetic_demo,0,Synthetic software test only
DEMO_0016,0.6666613350564976,high_clutter,synthetic_demo,0,Synthetic software test only
DEMO_0017,0.5509709681147337,pointing_stress,synthetic_demo,0,Synthetic software test only
DEMO_0018,0.7584410714957279,nominal,synthetic_demo,0,Synthetic software test only
DEMO_0019,3.529964150095083,high_clutter,synthetic_demo,0,Synthetic software test only
DEMO_0020,1.0617545111618638,pointing_stress,synthetic_demo,1,Synthetic software test only
DEMO_0021,0.9022747923028608,nominal,synthetic_demo,1,Synthetic software test only
DEMO_0022,1.9887164998909348,high_clutter,synthetic_demo,1,Synthetic software test only
DEMO_0023,2.1022545609678587,pointing_stress,synthetic_demo,1,Synthetic software test only
DEMO_0024,0.0976711659298742,nominal,synthetic_demo,1,Synthetic software test only
DEMO_0025,0.4198104968777507,high_clutter,synthetic_demo,1,Synthetic software test only
DEMO_0026,0.10214545529678909,pointing_stress,synthetic_demo,1,Synthetic software test only
DEMO_0027,1.1289942317484962,nominal,synthetic_demo,1,Synthetic software test only
DEMO_0028,1.4679007093661764,high_clutter,synthetic_demo,1,Synthetic software test only
DEMO_0029,1.748797182355476,pointing_stress,synthetic_demo,1,Synthetic software test only
DEMO_0030,0.40272466321729594,nominal,synthetic_demo,1,Synthetic software test only
DEMO_0031,1.9249185430140183,high_clutter,synthetic_demo,1,Synthetic software test only
DEMO_0032,2.575555360565387,pointing_stress,synthetic_demo,1,Synthetic software test only
DEMO_0033,0.0756217074228324,nominal,synthetic_demo,1,Synthetic software test only
DEMO_0034,1.0403515113713058,high_clutter,synthetic_demo,1,Synthetic software test only
DEMO_0035,1.5241137036076942,pointing_stress,synthetic_demo,1,Synthetic software test only
DEMO_0036,0.07634324532461427,nominal,synthetic_demo,1,Synthetic software test only
DEMO_0037,0.20782707991674057,high_clutter,synthetic_demo,1,Synthetic software test only
DEMO_0038,2.998427648867915,pointing_stress,synthetic_demo,1,Synthetic software test only
